,t,p,v,q,R,fa,pwm
8934,110.34648848863388,"[0.916452906055303, -1.4653109389491912, 2.042184081799988]","[0.27058104613847195, 0.2632425852340669, -0.35808506998635187]","[0.01585585373530665, 0.15555736073039592, -0.0930104855343326, -0.9832976207118479]","[[0.9342765760985177, -0.177980988735943, -0.30886788668979037], [0.18784696777270896, 0.9821699448579798, 0.0022451152046172942], [0.3029688440718614, -0.06011897780451108, 0.9510756607418314]]","[-0.4145300509422265, 0.03628012061972431, -0.4019734348846029]","[1570.8264051059011, 1675.7708377561548, 1507.3125132684645, 1622.0555673497463]"
8935,110.35648921490304,"[0.9191045898367802, -1.4626228468905276, 2.0382888564347454]","[0.24462578287593104, 0.263610893498897, -0.38645419988757523]","[0.016120695339733877, 0.1607431087220851, -0.09169024934885439, -0.9825870703123661]","[[0.9314917787359801, -0.17500472560046146, -0.31884442169502575], [0.18536988833514326, 0.9826487191027872, 0.0022028221708586607], [0.3129319793935173, -0.06115712505021064, 0.9477862287508172]]","[-0.21903561251054615, 0.05488247250180854, -0.4650544841635895]","[1563.903384961809, 1674.7439615601131, 1503.7198078005654, 1615.6473465219221]"
8936,110.36648994117219,"[0.9214244633395702, -1.4600004565949478, 2.0342055824450265]","[0.21929042769888268, 0.26407154610630856, -0.4165876322481149]","[0.016520849403058795, 0.1653043332777419, -0.0904482211201581, -0.9819388441463148]","[[0.9289704288041996, -0.17216730741212746, -0.3276260547820476], [0.18309117939514594, 0.9830755970749999, 0.0025419617574587577], [0.32164892902244485, -0.06234789331116079, 0.9447863132818044]]","[-0.05560258725454803, -0.0468938486322816, -0.4335787504871096]","[1555.8766741935851, 1674.2422921370992, 1501.2114606854955, 1607.1189663306843]"
8937,110.37649066744135,"[0.9235004083324659, -1.4573675316923347, 2.0297726827023848]","[0.19509366795498573, 0.2631160190893601, -0.44751339701252674]","[0.016998459379584725, 0.16932992008285666, -0.08919519845583303, -0.9813621319058282]","[[0.9267321762971895, -0.16930888468820596, -0.3353803046515224], [0.18082227576131302, 0.983499524725164, 0.003156457019126282], [0.3293155808203005, -0.06357012032432927, 0.9420658479097817]]","[0.1988422451129992, -0.31480499371447745, -0.4496826143368331]","[1546.7503596699619, 1672.4251079009885, 1498.4251079009885, 1599.5877337854752]"
8938,110.38649139371051,"[0.9253484923553754, -1.4547247660959086, 2.0250131870106665]","[0.17196050450791892, 0.26083759601968726, -0.47917930334624187]","[0.017548423258166645, 0.17285515152789935, -0.0879319055579531, -0.9808522229777293]","[[0.9247681070544153, -0.1664297393516399, -0.3421768518518408], [0.1785630807971043, 0.9839100195561858, 0.004025854206339843], [0.33600458666532845, -0.06482378564376752, 0.9396162527668253]]","[0.4010468533613598, -0.26492091290877307, -0.8064606508217729]","[1536.5968721503612, 1669.3790616451083, 1495.3790616451083, 1592.9879668977346]"
8939,110.39649211997967,"[0.9269244798430721, -1.4521059967567322, 2.019926133450352]","[0.14893868481924108, 0.26062186397656734, -0.5136719565898688]","[0.018087214681154054, 0.17568171556739157, -0.08657044430508064, -0.9804633804428259]","[[0.9232770807124148, -0.16340311512955177, -0.3476306138767773], [0.1761134867496352, 0.9843509164119743, 0.005050014952263048], [0.3413673410320217, -0.0658853916440546, 0.9376116696969287]]","[0.5568741563504327, 0.0715058824420888, -1.4511950124050337]","[1527.338374642102, 1664.1610144111428, 1490.9836541801835, 1587.5320806928776]"
8940,110.40649284624882,"[0.9282753675349751, -1.4495070790213316, 2.0145680980883904]","[0.1260089775025547, 0.2621125532537462, -0.5505031186708117]","[0.018616763364351623, 0.1779302866155559, -0.08512777041697349, -0.980174693613193]","[[0.9221830896866221, -0.1602552004903163, -0.3519751354509955], [0.1735051446554086, 0.9848082957204813, 0.00620174347497467], [0.34563592122064496, -0.06678897783191601, 0.9359833965226235]]","[0.7515738366620788, 0.11731787746708527, -2.047559870118979]","[1518.8202837275232, 1657.1461160109016, 1485.4719482942799, 1583.0225031498653]"
8941,110.41649357251798,"[0.929353323599428, -1.446907598608676, 2.0087997188676883]","[0.10314373445983649, 0.2628135453628078, -0.5885513753254128]","[0.01915262117172514, 0.1795057777821728, -0.08382659609707535, -0.9799907845530584]","[[0.9214995382362616, -0.1574225710311748, -0.35503901407944194], [0.1711745956711661, 0.9852105409551319, 0.007444067834177746], [0.348617017922792, -0.067633501159128, 0.9348196888672108]]","[0.8959164563147968, -0.03673433224503984, -2.4824828749025407]","[1518.5915397998663, 1654.8288168768922, 1483.8288168768922, 1584.3152675075687]"
8942,110.42649429878713,"[0.9302093301002746, -1.4443076606236513, 2.0026976456693877]","[0.08033091413415225, 0.26287235120902264, -0.6275893802624498]","[0.019693609595035962, 0.18053391653171222, -0.08264049003697507, -0.9798920813755585]","[[0.9211543837895753, -0.15484679463477852, -0.35706248955334297], [0.1690682525181319, 0.9855636973083703, 0.00875640153080481], [0.3505525313632204, -0.06843404685270502, 0.9340376084589146]]","[0.9857524803681441, -0.13816211961323346, -2.545750742829963]","[1525.103740348004, 1656.331632388001, 1485.331632388001, 1590.3265295520036]"
8943,110.43649502505629,"[0.9308205710550298, -1.4417316123965604, 1.9962436199793594]","[0.057425491374349553, 0.2624224611974306, -0.6642879811669438]","[0.02009822451019222, 0.18086352076166512, -0.08138389121959647, -0.9799284357138552]","[[0.9213287268567171, -0.15223070713830794, -0.3577379573898468], [0.16677084972219497, 0.9859440758844035, 0.00995088921127589], [0.35119527052086874, -0.06882839760831821, 0.9337675250998791]]","[1.0481736933774952, -0.23099959342409257, -2.3249104695422584]","[1536.4711822072059, 1657.5465278843358, 1496.6572937445494, 1600.92465432287]"
8944,110.44649575132544,"[0.9312357621860449, -1.439174699145396, 1.989507690953384]","[0.03444589685640221, 0.2615651211388328, -0.6991127899648243]","[0.020393608356419606, 0.18063361989938506, -0.08007082982870592, -0.980072967050874]","[[0.9219190775782855, -0.14958296892843, -0.3573341218964605], [0.16431805412935171, 0.9863442883306064, 0.011047480820885709], [0.3508023893192599, -0.06890141618211294, 0.9339099546336106]]","[0.951253255188981, -0.23625984062936534, -2.118372506833797]","[1551.727525990923, 1658.5308081284466, 1515.8507585047096, 1615.1967178624764]"
8945,110.4564964775946,"[0.9313831463390803, -1.4365730673991908, 1.9822950280809648]","[0.009853333916217514, 0.2612169471217651, -0.7317382084111791]","[0.02074487115333945, 0.17985317377165372, -0.07875474532891459, -0.9803150367200006]","[[0.922898446870946, -0.14694686028515416, -0.35589305538945953], [0.16187098395080265, 0.986732075744082, 0.012344436458908068], [0.34935802721120995, -0.06900160004684251, 0.9344423673362531]]","[0.7177433170422431, -0.1804436294682429, -1.9397583830091811]","[1569.1274611615286, 1656.334878641703, 1528.4646577657861, 1624.665121358297]"
8946,110.46649720386375,"[0.9312865862217578, -1.4339307017605143, 1.9746481103164477]","[-0.016208475299181103, 0.2613325703493736, -0.7623602112685056]","[0.02114703385569816, 0.17857123823504795, -0.07743590709170918, -0.9806459536530692]","[[0.9242296766251175, -0.14432191387265822, -0.3535054039258661], [0.15942692195510025, 0.9871106567929259, 0.013819854738268446], [0.34695524493020585, -0.069131157991151, 0.935327921957561]]","[0.5605350819693724, -0.07242218690717633, -1.5845422732552272]","[1588.4799848746907, 1651.2421092435025, 1535.0852579834468, 1629.7578907564975]"
