t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
0.520000,"[0.584961473941803, 0.7604205012321472, -11.155609130859375]","[2.5708055189215524, 2.4844006892186847, -10.0]","[1.831214189529419, 1.5864909887313843, -2.398056983947754]","[0.5301981400671587, 0.18090820000072566, 0.20466306474212942, 0.0]","[0.5823763608932495, 0.9797064661979675, 4.548437595367432]","[1.3230136632919312, 2.0661263465881348, 0.010540962219238281]","[0.0, 0.0, 0.0]"
0.530000,"[0.6126500964164734, 0.7844892144203186, -11.191405296325684]","[2.6190926814952453, 2.5276667060242355, -10.0]","[1.8603976964950562, 1.6224745512008667, -2.374507188796997]","[0.5240597204851033, 0.17589719760074818, 0.20279733486362847, 0.0]","[0.499142587184906, 0.9094336628913879, 4.644236087799072]","[1.2698545455932617, 2.0256834030151367, 0.13939857482910156]","[0.0, 0.0, 0.0]"
0.540000,"[0.6407708525657654, 0.8090916872024536, -11.226837158203125]","[2.667314366888313, 2.570679958265567, -10.0]","[1.8888428211212158, 1.657659649848938, -2.3494043350219727]","[0.5189124179896251, 0.1708220699382677, 0.20100155027255365, 0.0]","[0.4303862452507019, 0.8455069661140442, 4.705801963806152]","[1.2178237438201904, 1.9847691059112549, 0.26879215240478516]","[0.0, 0.0, 0.0]"
0.550000,"[0.6693131923675537, 0.8342161774635315, -11.261881828308105]","[2.71546936956113, 2.613436144653297, -10.0]","[1.9166216850280762, 1.6920692920684814, -2.3229734897613525]","[0.514492670977642, 0.16567862486315654, 0.19925051646155545, 0.0]","[0.36937424540519714, 0.7839400768280029, 4.746029853820801]","[1.1685949563980103, 1.944337248802185, 0.39272022247314453]","[0.0, 0.0, 0.0]"
0.560000,"[0.6982676982879639, 0.8598511219024658, -11.29652214050293]","[2.7635564856411388, 2.655930989604418, -10.0]","[1.943803071975708, 1.7257368564605713, -2.2954444885253906]","[0.5108383518782622, 0.1604567066268317, 0.19752140388517594, 0.0]","[0.3189217746257782, 0.7270117998123169, 4.760166645050049]","[1.122207522392273, 1.9039260149002075, 0.5100793838500977]","[0.0, 0.0, 0.0]"
0.570000,"[0.7276257872581482, 0.8859858512878418, -11.330741882324219]","[2.8115745129529417, 2.6981602436698475, -10.0]","[1.9704443216323853, 1.7586936950683594, -2.266998529434204]","[0.5078420127087909, 0.1551465140198247, 0.19579538817891404, 0.0]","[0.2775897681713104, 0.6742057204246521, 4.752810001373291]","[1.0788147449493408, 1.8643639087677002, 0.6192731857299805]","[0.0, 0.0, 0.0]"
0.580000,"[0.7573798894882202, 0.9126096963882446, -11.36452865600586]","[2.859522251048357, 2.740119683959369, -10.0]","[1.9966013431549072, 1.790964961051941, -2.237811803817749]","[0.5053911220321994, 0.14974162464654225, 0.19405288110843877, 0.0]","[0.24465131759643555, 0.6281881332397461, 4.7299323081970215]","[1.0387532711029053, 1.8265678882598877, 0.7188253402709961]","[0.0, 0.0, 0.0]"
0.590000,"[0.7875230312347412, 0.9397125840187073, -11.397872924804688]","[2.907398501236429, 2.7818051145639204, -10.0]","[2.022322654724121, 1.8225667476654053, -2.2080399990081787]","[0.5033685782979931, 0.14423920977440594, 0.19227660464675955, 0.0]","[0.2170426994562149, 0.589296817779541, 4.6968488693237305]","[1.0023058652877808, 1.79068124294281, 0.8075571060180664]","[0.0, 0.0, 0.0]"
0.600000,"[0.818048894405365, 0.9672845602035522, -11.430769920349121]","[2.9552020666133973, 2.823212366975178, -10.0]","[2.047647714614868, 1.8535115718841553, -2.1778132915496826]","[0.5017195047446078, 0.1386375561234011, 0.19045268825480444, 0.0]","[0.19137519598007202, 0.5596619248390198, 4.655083179473877]","[0.969321608543396, 1.7564326524734497, 0.8857011795043945]","[0.0, 0.0, 0.0]"
0.610000,"[0.8489518761634827, 0.9953158497810364, -11.463208198547363]","[3.002931752092617, 2.8643373005024078, -10.0]","[2.072608470916748, 1.883809208869934, -2.14723539352417]","[0.5003625797346244, 0.13293587952813726, 0.18856990447950334, 0.0]","[0.1645747572183609, 0.5374512672424316, 4.607831954956055]","[0.9396160840988159, 1.7239195108413696, 0.9535036087036133]","[0.0, 0.0, 0.0]"
0.620000,"[0.8802267909049988, 1.0237969160079956, -11.495185852050781]","[3.0505863644344364, 2.905175802686527, -10.0]","[2.0972323417663574, 1.913463830947876, -2.1163928508758545]","[0.49926293184324205, 0.12713564186864343, 0.18661847231637962, 0.0]","[0.1354420930147171, 0.5210590958595276, 4.555727005004883]","[0.9128845930099487, 1.6930932998657227, 1.0120105743408203]","[0.0, 0.0, 0.0]"
0.630000,"[0.9118686318397522, 1.0527180433273315, -11.52669906616211]","[3.0981647122760303, 2.9457237897113493, -10.0]","[2.1215434074401855, 1.942476511001587, -2.08536696434021]","[0.4983598494963086, 0.12123972105537442, 0.18458976703664118, 0.0]","[0.09923896938562393, 0.5110307931900024, 4.500880241394043]","[0.8889799118041992, 1.6638023853302002, 1.061570167541504]","[0.0, 0.0, 0.0]"
0.640000,"[0.9438729882240295, 1.0820695161819458, -11.557746887207031]","[3.145665606161179, 2.9859772068119614, -10.0]","[2.1455631256103516, 1.9708516597747803, -2.0542314052581787]","[0.4977376252011077, 0.11524864395377868, 0.18247663947219522, 0.0]","[0.0643736720085144, 0.5004584789276123, 4.43656063079834]","[0.8670812845230103, 1.6346254348754883, 1.1044673919677734]","[0.0, 0.0, 0.0]"
0.650000,"[0.9762355089187622, 1.1118416786193848, -11.588326454162598]","[3.1930878585700113, 3.025932028680199, -10.0]","[2.1692938804626465, 1.998583436012268, -2.022969961166382]","[0.4973450295467573, 0.1091696131571191, 0.1802775945984838, 0.0]","[0.02618611603975296, 0.48919227719306946, 4.366297721862793]","[0.8469990491867065, 1.606974482536316, 1.1433954238891602]","[0.0, 0.0, 0.0]"
0.660000,"[1.0089519023895264, 1.1420249938964844, -11.618436813354492]","[3.2404302839486854, 3.0655842598671703, -10.0]","[2.1927547454833984, 2.0256612300872803, -1.9916768074035645]","[0.49718126254843004, 0.10301035993787286, 0.17798555767579108, 0.0]","[-0.010901439934968948, 0.4744124412536621, 4.289571285247803]","[0.828779935836792, 1.5809258222579956, 1.1780099868774414]","[0.0, 0.0, 0.0]"
0.670000,"[1.042018175125122, 1.1726096868515015, -11.648078918457031]","[3.2876916987390326, 3.1049299351827995, -10.0]","[2.2159547805786133, 2.052072048187256, -1.9604073762893677]","[0.49727294409140527, 0.09677814810195184, 0.17559813764806326, 0.0]","[-0.04206040874123573, 0.4547191262245178, 4.203967094421387]","[0.8118240833282471, 1.5546560287475586, 1.2091035842895508]","[0.0, 0.0, 0.0]"
0.680000,"[1.0754306316375732, 1.2035853862762451, -11.677251815795898]","[3.334870921408146, 3.143965120092344, -10.0]","[2.238905191421509, 2.0778191089630127, -1.9292134046554565]","[0.49757719825831953, 0.09047498120090434, 0.17311156550937729, 0.0]","[-0.06684527546167374, 0.43101418018341064, 4.11185359954834]","[0.796027421951294, 1.5282131433486938, 1.2365293502807617]","[0.0, 0.0, 0.0]"
